DateTime,AddedIPs,RemovedIPs
1583655863,0,1
1583657768,1,2
1583662595,2,0
1583668333,1,1
1583670251,1,0
1583674091,0,1
1583679896,0,1
1583681797,1,1
1583683698,2,0
1583691379,0,1
1583693296,0,1
1583695237,1,1
1583697130,1,1
1583699055,0,1
1583700993,1,1
1583702919,1,0
1583704902,2,1
1583706761,0,1
1583708923,4,1
1583710813,0,1
1583714674,1,5
1583718493,0,3
1583720431,2,0
1583722332,2,1
1583724252,1,0
1583726169,1,0
1583730065,1,1
1583731955,0,1
1583734837,0,1
1583736729,1,1
1583740590,0,3
1583742496,1,0
1583745373,2,1
1583747293,1,2
1583749232,2,0
1583751130,1,0
1583753049,1,0
1583754970,1,1
1583756887,0,1
1583763614,1,0
1583767449,0,1
1583769414,0,1
1583771290,1,1
1583773310,0,1
1583777328,1,0
1583779222,2,1
1583781133,2,0
1583783050,0,1
1583784974,2,0
1583786893,0,1
1583790753,0,1
1583792652,2,1
1583794573,2,2
1583796511,2,1
1583798531,2,0
1583800358,1,0
1583802281,0,1
1583806095,0,1
1583808013,0,2
1583809932,0,1
1583811879,3,1
1583815692,1,0
1583817611,0,1
1583819559,0,1
1583823392,1,1
1583825290,2,0
1583828203,5,1
1583830106,0,1
1583833961,2,0
1583835860,1,2
1583839764,0,1
1583841742,1,2
1583845494,1,1
1583847435,0,1
1583849301,3,1
1583856980,1,1
1583862736,1,0
1583864659,1,2
1583866576,1,2
1583868508,2,1
1583870499,1,0
1583872346,1,3
1583876420,1,1
1583878362,2,0
1583880256,0,4
1583883168,3,2
1583885330,1,0
1583887211,0,1
1583889138,2,0
1583891060,2,0
1583896813,2,6
1583898727,0,1
1583902575,0,1
1583908338,0,1
1583910499,0,1
1583912415,1,3
1583914332,1,3
1583920093,1,1
1583931729,1,1
1583933547,1,0
1583935701,0,2
1583937616,1,1
1583939539,1,0
1583943406,3,0
1583945305,2,0
1583947235,1,2
1583949149,1,0
1583951055,1,1
1583953010,0,1
1583957804,0,2
1583959761,1,0
1583961626,1,0
1583963542,1,2
1583965453,2,1
1583967390,0,2
1583969290,1,1
1583972406,4,0
1583976254,3,1
1583978171,1,1
1583980091,2,0
1583983207,2,2
1583985125,1,2
1583987054,1,0
1583988997,5,0
1583990886,2,0
1583994732,0,1
1583996904,1,0
1583998812,1,2
1584004909,1,0
1584006744,0,1
1584008755,1,0
1584010581,1,0
1584014548,2,0
1584016592,1,1
1584018493,1,0
1584020437,0,1
1584024251,1,0
1584026171,1,1
1584028092,1,1
1584030055,0,2
1584031954,0,1
1584035773,0,2
1584037693,1,1
1584039766,1,1
1584041566,1,0
1584043492,1,0
1584045374,3,3
1584049211,0,2
1584051405,0,1
1584053295,1,1
1584055212,3,1
1584057164,1,1
1584059053,0,2
1584060974,2,2
1584062889,1,0
1584064958,1,0
1584066972,2,2
1584068903,0,1
1584072751,1,1
1584076574,1,1
1584084258,0,2
1584086174,0,1
1584088104,1,1
1584092895,0,2
1584094810,2,1
1584096731,0,1
1584100569,2,1
1584102488,0,1
1584105378,7,0
1584109247,0,1
1584113054,2,1
1584114976,0,1
1584116891,0,1
1584122898,1,0
1584124841,0,1
1584126766,1,0
1584128651,0,1
1584130587,0,2
1584132496,0,1
1584138251,2,0
1584140168,2,1
1584142091,1,1
1584144977,2,1
1584146896,4,1
1584148838,0,1
1584150747,2,1
1584152654,1,2
1584154600,1,4
1584156489,1,1
1584159374,1,2
1584161316,0,1
1584166116,2,0
1584169934,0,1
1584175695,1,1
1584181478,0,3
1584183371,1,0
1584187342,1,2
1584189206,1,0
1584191299,3,6
1584193211,2,5
1584198971,0,1
1584201010,2,0
1584204736,2,0
1584206649,1,0
1584210490,0,1
1584213375,0,3
1584215301,1,0
1584217212,1,0
1584219135,2,0
1584223096,2,2
1584225238,1,3
1584227123,0,1
1584228981,1,2
1584230970,1,0
1584232818,3,1
1584234734,2,2
1584236658,1,0
1584238576,1,0
1584240497,2,3
1584242413,2,0
1584244343,0,1
1584250105,1,0
1584253210,1,1
1584255129,0,1
1584258972,2,1
1584260888,0,1
1584263776,2,0
1584265691,1,0
1584267632,0,1
1584269530,0,1
1584273388,1,0
1584278176,0,1
1584280112,0,2
1584282027,1,1
1584283941,0,2
1584285870,2,0
1584287790,1,0
1584291713,1,0
1584293557,1,1
1584295470,1,2
1584297403,1,0
1584301245,2,0
1584303174,1,2
1584305071,1,2
1584308913,3,2
1584310816,1,1
1584314676,0,1
1584316570,0,1
1584322403,1,2
1584324277,2,1
1584326213,1,2
1584328105,1,2
1584330019,0,1
1584337723,1,3
1584339625,0,1
1584341532,1,0
1584343452,1,0
1584345391,1,1
1584347292,2,1
1584350172,3,2
1584352093,0,1
1584354023,1,0
1584355930,1,1
1584357872,2,0
1584359786,4,0
1584361697,3,0
1584364646,1,1
1584366502,1,0
1584368426,3,1
1584370353,0,1
1584372254,2,1
1584376088,0,2
1584378974,0,3
1584380900,1,1
1584382868,2,0
1584387619,1,3
1584389550,0,1
1584391456,0,1
1584393385,2,0
1584395294,1,2
1584399130,1,1
1584401055,1,0
1584404892,0,1
1584408751,2,1
1584410734,1,2
1584414496,1,0
1584416411,1,1
1584420256,0,1
1584422441,1,0
1584424333,0,1
1584426257,1,0
1584428193,0,1
1584430116,0,1
1584432984,0,3
1584434942,1,2
1584436811,0,2
1584438734,2,0
1584440668,2,0
1584442576,4,2
1584444490,1,0
1584447622,1,3
1584449556,1,1
1584451454,1,1
1584453385,1,2
1584455288,0,1
1584458171,0,1
1584460092,0,2
1584463935,1,0
1584465873,0,1
1584469940,1,2
1584474017,1,0
1584475953,2,0
1584477856,2,0
1584479785,1,2
1584481717,1,2
1584483618,2,2
1584485535,0,1
1584487469,1,0
1584489373,1,0
1584491539,1,0
1584493502,2,1
1584495395,0,2
1584497305,4,1
1584501173,1,1
1584503155,2,1
1584506932,1,1
1584508826,3,1
1584510734,0,1
1584514576,0,1
1584516521,2,0
1584518516,3,1
1584520336,1,1
1584522789,1,0
1584526577,1,2
1584528513,4,3
1584530439,0,4
